0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Class-1,Class-2,Class-3
2.0,40,39,1.0,55,174127.0,1.0,1.0,0,2,3,0,2,1.0,10,13,0,1,3,329980.0,0,1.0,44,2,1,1,0
,30,31,1.0,34,253860.0,,1.0,0,4,3,0,2,21.0,9,13,0,1,1,505438.0,0,1.0,23,11,1,1,1
1.0,80,37,1.0,43,155066.0,1.0,1.0,0,4,3,0,2,1.0,9,4,0,1,2,117381.0,0,2.0,33,4,1,1,0
,40,22,1.0,30,127366.0,,1.0,0,2,2,0,13,1.0,10,3,0,3,3,367655.0,0,5.0,41,4,1,1,1
7.0,30,20,1.0,23,245487.0,1.0,1.0,0,2,4,0,4,1.0,10,1,0,3,2,219835.0,0,1.0,23,4,1,1,1
8.0,56,29,1.0,26,140644.0,1.0,3.0,0,4,6,0,2,1.0,9,2,0,2,1,190562.0,0,5.0,27,4,1,1,1
4.0,40,35,1.0,49,178326.0,1.0,,0,1,3,0,4,1.0,13,4,0,1,2,218955.0,0,2.0,65,15,1,1,1
6.0,55,28,1.0,42,170336.0,1.0,3.0,0,5,6,0,7,1.0,15,3,0,2,2,187160.0,0,1.0,44,4,1,1,1
4.0,25,60,1.0,21,141118.0,2.0,1.0,0,4,1,1797,2,1.0,9,1,0,1,1,184362.0,0,6.0,21,13,1,0,1
2.0,40,59,1.0,30,162297.0,4.0,1.0,1887,4,3,0,2,1.0,9,11,0,1,4,117299.0,0,1.0,28,4,1,1,0
8.0,40,55,1.0,23,349910.0,1.0,1.0,0,2,3,7688,1,1.0,10,2,0,1,3,173422.0,0,1.0,49,4,1,1,1
4.0,20,21,1.0,24,393376.0,1.0,1.0,0,2,2,0,2,1.0,10,8,0,3,1,34616.0,0,1.0,47,1,1,0,1
8.0,40,23,1.0,49,163867.0,1.0,3.0,0,4,2,0,10,1.0,9,1,0,3,1,162282.0,0,1.0,50,2,1,1,1
6.0,60,46,1.0,20,305090.0,5.0,1.0,0,1,3,0,4,1.0,13,1,0,1,5,122177.0,0,1.0,30,4,1,1,1
6.0,40,43,1.0,61,54929.0,1.0,,0,2,4,0,7,1.0,10,10,0,2,3,102895.0,0,1.0,56,11,1,1,1
2.0,40,38,1.0,43,181557.0,1.0,1.0,0,2,3,0,2,1.0,10,2,0,1,3,212245.0,0,1.0,48,4,1,1,1
9.0,40,25,1.0,23,158319.0,5.0,1.0,0,1,3,0,7,1.0,13,5,0,1,1,227886.0,0,1.0,30,13,1,1,1
1.0,40,24,1.0,33,218899.0,6.0,2.0,0,4,3,0,1,1.0,9,2,0,1,1,155775.0,0,1.0,43,4,1,1,1
3.0,40,51,1.0,59,193511.0,5.0,4.0,0,8,5,0,10,1.0,5,1,0,4,1,114508.0,0,1.0,52,2,1,0,1
9.0,40,30,1.0,18,189203.0,1.0,3.0,0,4,2,0,7,1.0,9,2,0,2,2,110594.0,0,4.0,35,4,1,0,1
6.0,15,81,1.0,45,83893.0,1.0,1.0,0,12,3,0,15,18.0,2,4,0,1,2,100675.0,0,,29,7,1,1,1
9.0,40,23,21.0,25,260046.0,1.0,1.0,0,2,4,0,4,1.0,10,4,0,3,3,132053.0,0,1.0,37,11,1,0,1
3.0,21,45,1.0,65,116975.0,1.0,5.0,0,9,6,0,4,1.0,4,4,0,5,3,347025.0,1887,1.0,56,9,1,0,1
5.0,40,47,,62,23037.0,1.0,1.0,1138,1,6,0,2,1.0,13,8,0,2,1,50092.0,0,1.0,57,1,0,1,1
5.0,50,33,1.0,29,64940.0,1.0,1.0,0,6,3,0,1,1.0,12,2,0,1,1,219553.0,0,1.0,36,4,1,1,1
,20,68,1.0,76,53497.0,,1.0,0,2,3,0,4,1.0,10,4,0,1,3,407338.0,0,1.0,17,4,1,1,1
4.0,40,45,1.0,56,112761.0,2.0,1.0,0,6,3,0,1,1.0,12,11,5178,1,2,244194.0,0,5.0,26,4,1,1,0
5.0,40,55,1.0,28,142297.0,1.0,1.0,0,5,3,0,13,1.0,15,5,99999,1,3,115439.0,0,1.0,31,1,1,1,0
3.0,36,45,1.0,32,36228.0,1.0,1.0,0,3,1,0,1,1.0,7,3,0,1,4,45857.0,0,4.0,23,1,1,0,1
8.0,60,54,1.0,32,99894.0,1.0,6.0,0,2,4,0,2,1.0,10,3,0,2,3,150999.0,0,1.0,43,2,1,1,1
2.0,40,40,,26,261677.0,1.0,1.0,0,4,3,0,6,1.0,9,4,0,1,1,168113.0,0,1.0,26,3,1,1,1
11.0,60,61,,36,275507.0,2.0,1.0,0,1,3,0,2,1.0,13,1,0,1,1,352448.0,0,1.0,39,4,1,1,1
5.0,40,47,1.0,58,140206.0,5.0,1.0,0,4,3,0,10,1.0,9,4,0,1,3,166863.0,0,1.0,42,4,1,1,0
6.0,24,40,1.0,58,290763.0,1.0,1.0,0,11,1,594,13,1.0,14,4,15024,1,1,99604.0,0,1.0,36,4,1,0,0
9.0,20,43,4.0,49,296485.0,1.0,1.0,0,4,6,0,2,1.0,9,4,0,4,3,199657.0,0,1.0,24,11,1,0,1
6.0,40,47,1.0,29,113364.0,5.0,1.0,0,1,3,0,4,1.0,13,2,0,1,1,39986.0,0,1.0,34,7,1,1,1
2.0,40,42,1.0,57,285131.0,1.0,5.0,0,4,6,0,4,1.0,9,6,0,2,7,236323.0,0,,42,2,1,0,1
1.0,40,30,1.0,27,158688.0,1.0,1.0,0,1,4,0,4,1.0,13,2,0,3,3,100734.0,0,4.0,23,4,1,0,1
6.0,50,28,1.0,47,209641.0,2.0,1.0,0,14,3,0,2,1.0,16,1,0,1,1,146735.0,0,1.0,34,2,1,1,0
4.0,60,47,30.0,30,345697.0,1.0,1.0,0,1,4,0,2,1.0,13,7,0,3,1,262244.0,0,1.0,36,9,0,1,0
9.0,25,23,1.0,18,133503.0,1.0,1.0,0,2,2,0,8,1.0,10,15,0,3,1,123586.0,0,1.0,40,4,0,1,1
3.0,20,24,1.0,61,143533.0,1.0,1.0,0,4,2,0,5,,9,2,0,3,3,229553.0,0,1.0,41,1,0,0,1
4.0,40,46,1.0,62,166459.0,1.0,1.0,0,2,3,0,2,1.0,10,2,15024,1,4,117849.0,0,2.0,20,4,1,1,0
6.0,60,47,1.0,27,191429.0,4.0,1.0,0,1,3,0,2,,13,6,7298,1,3,169549.0,0,2.0,38,1,1,1,0
8.0,40,26,1.0,27,111567.0,1.0,1.0,0,1,5,0,2,1.0,13,4,0,3,3,59367.0,0,1.0,44,8,1,1,1
1.0,40,27,1.0,39,197919.0,1.0,1.0,0,6,3,0,3,1.0,12,4,0,1,1,130807.0,1887,1.0,29,4,1,1,1
5.0,35,24,1.0,31,132112.0,1.0,2.0,0,7,2,0,1,1.0,11,4,0,3,3,306779.0,0,1.0,38,4,1,1,1
4.0,10,17,21.0,67,126779.0,1.0,1.0,0,10,4,0,6,,8,2,0,3,1,160118.0,0,5.0,53,6,1,0,1
7.0,40,46,1.0,39,212213.0,1.0,1.0,0,4,3,0,6,1.0,9,1,0,1,1,216164.0,0,1.0,44,3,1,1,1
12.0,40,60,1.0,33,276218.0,1.0,1.0,0,6,5,0,2,,12,3,0,2,1,420842.0,0,5.0,37,2,1,0,1
6.0,30,25,1.0,44,421223.0,5.0,1.0,0,1,4,15024,4,1.0,13,1,0,3,1,48317.0,0,5.0,45,2,1,1,1
4.0,45,47,1.0,27,119742.0,3.0,1.0,0,2,3,0,2,1.0,10,4,0,1,2,337825.0,0,1.0,46,2,1,1,0
9.0,35,34,1.0,36,167087.0,1.0,1.0,0,4,6,0,6,1.0,9,1,0,2,3,136997.0,0,1.0,56,3,1,0,1
2.0,40,37,1.0,44,325374.0,1.0,6.0,0,1,3,0,7,1.0,13,4,0,1,2,192939.0,0,1.0,47,2,1,1,0
1.0,50,37,1.0,53,257621.0,1.0,5.0,1485,2,3,0,3,1.0,10,4,0,1,1,261241.0,0,1.0,53,4,1,1,1
6.0,32,45,1.0,20,284343.0,1.0,2.0,0,2,6,0,4,1.0,10,3,0,2,1,102076.0,1672,2.0,66,2,1,0,1
8.0,40,46,1.0,32,124111.0,1.0,2.0,0,4,3,0,2,1.0,9,1,0,1,2,358886.0,0,2.0,55,13,1,1,1
2.0,40,64,1.0,39,308608.0,1.0,1.0,2179,3,3,0,1,1.0,7,1,0,1,2,181232.0,0,1.0,54,6,1,1,1
9.0,40,23,21.0,31,193012.0,1.0,5.0,0,1,4,0,3,1.0,13,4,0,3,3,140798.0,0,1.0,71,11,1,0,1
9.0,40,19,1.0,31,111971.0,6.0,1.0,0,4,2,0,1,1.0,9,11,0,3,1,176634.0,0,1.0,35,4,1,0,1
4.0,40,45,1.0,49,205947.0,1.0,1.0,0,6,6,0,4,13.0,12,4,0,5,3,297676.0,0,5.0,34,3,1,0,1
11.0,40,45,1.0,33,311446.0,1.0,1.0,0,2,3,0,1,1.0,10,4,0,1,3,362883.0,0,1.0,52,2,1,1,1
,80,34,1.0,42,102058.0,,6.0,0,4,3,0,5,1.0,9,1,2885,1,3,205256.0,0,,38,4,1,1,1
3.0,20,18,1.0,17,257017.0,1.0,5.0,0,4,2,0,7,1.0,9,2,0,3,4,338836.0,0,5.0,42,11,1,1,1
9.0,48,25,1.0,50,180869.0,1.0,1.0,0,4,4,0,2,1.0,9,2,0,3,2,171114.0,0,1.0,42,4,1,0,1
1.0,40,65,1.0,42,409172.0,2.0,1.0,0,5,4,0,4,1.0,15,2,0,2,1,55894.0,0,1.0,37,7,1,1,1
7.0,35,22,1.0,28,280093.0,1.0,1.0,0,2,2,0,4,1.0,10,1,0,3,3,181557.0,0,1.0,47,4,0,1,1
,10,48,1.0,53,117210.0,,1.0,0,3,6,0,9,29.0,7,2,0,2,1,155509.0,0,,21,2,0,0,1
3.0,40,19,1.0,41,116138.0,1.0,6.0,0,4,2,0,4,1.0,9,2,0,3,3,225294.0,0,,18,2,0,0,1
,40,60,22.0,38,348960.0,,1.0,0,7,4,0,2,1.0,11,1,0,5,1,366531.0,0,1.0,38,2,1,0,1
3.0,45,41,1.0,19,177675.0,2.0,1.0,0,2,6,0,2,1.0,10,1,0,2,1,154374.0,1887,1.0,38,2,1,1,1
13.0,40,34,1.0,27,111128.0,6.0,1.0,0,2,3,0,11,1.0,10,4,0,1,2,189843.0,0,1.0,26,7,1,1,1
6.0,37,58,1.0,18,219863.0,5.0,1.0,0,1,4,0,13,1.0,13,1,0,3,3,215245.0,0,1.0,49,4,1,0,1
3.0,30,36,1.0,20,50164.0,1.0,1.0,0,2,6,0,13,1.0,10,1,0,2,3,345310.0,1980,1.0,70,2,1,0,1
5.0,65,45,1.0,59,142030.0,2.0,,0,9,3,0,11,1.0,4,13,0,1,3,155489.0,0,3.0,50,2,1,1,0
4.0,20,17,1.0,30,77665.0,1.0,1.0,0,3,2,0,2,1.0,7,4,0,3,1,262511.0,0,,54,6,1,1,1
4.0,40,27,1.0,29,150817.0,1.0,1.0,0,2,4,0,2,1.0,10,3,0,3,2,129528.0,0,1.0,27,1,1,0,1
11.0,70,39,1.0,32,160035.0,1.0,,0,10,3,0,1,1.0,8,6,15024,1,3,322143.0,0,2.0,33,14,1,1,0
9.0,40,22,1.0,49,273640.0,1.0,1.0,0,2,2,0,6,1.0,10,4,0,3,3,416165.0,1977,1.0,44,1,1,0,1
2.0,40,37,1.0,17,119859.0,1.0,2.0,0,13,6,0,6,1.0,6,2,0,2,1,385452.0,0,1.0,31,11,1,0,1
4.0,40,23,1.0,27,219838.0,1.0,2.0,0,2,3,0,1,1.0,10,2,0,1,1,165064.0,0,5.0,35,1,1,1,1
4.0,30,20,1.0,32,196630.0,1.0,2.0,0,2,2,8614,14,1.0,10,9,0,3,3,206869.0,0,1.0,50,1,1,0,1
7.0,40,31,1.0,54,118941.0,1.0,3.0,0,4,4,0,1,21.0,9,2,0,6,1,256609.0,0,1.0,51,1,1,1,1
5.0,38,47,1.0,29,147476.0,6.0,1.0,0,7,3,0,7,1.0,11,2,0,1,1,207120.0,0,1.0,48,2,1,1,0
7.0,30,24,21.0,64,303954.0,1.0,1.0,0,2,2,0,2,1.0,10,4,0,3,1,177287.0,0,6.0,57,4,1,0,1
6.0,60,46,1.0,25,81132.0,3.0,4.0,0,5,3,0,11,1.0,15,4,99999,1,3,120131.0,0,1.0,20,4,1,1,0
2.0,53,32,1.0,38,146660.0,1.0,3.0,0,4,4,0,4,1.0,9,1,0,4,1,152156.0,0,2.0,24,4,1,1,1
2.0,40,50,1.0,20,423605.0,1.0,1.0,0,2,3,0,2,1.0,10,4,0,1,1,283676.0,0,3.0,50,4,1,1,0
13.0,16,65,1.0,39,119177.0,1.0,1.0,0,8,3,0,2,1.0,5,4,0,1,1,274637.0,0,1.0,45,2,1,1,1
3.0,10,45,1.0,37,180624.0,1.0,1.0,0,10,2,0,2,21.0,8,1,0,3,3,358701.0,0,1.0,37,4,1,1,1
11.0,40,31,1.0,48,403625.0,1.0,,0,4,2,0,2,1.0,9,5,0,3,3,224234.0,0,1.0,44,3,0,1,1
2.0,50,39,1.0,27,28683.0,1.0,1.0,0,11,4,0,11,1.0,14,1,0,3,1,192702.0,0,1.0,40,2,1,0,1
11.0,45,29,1.0,33,255407.0,1.0,1.0,0,4,4,0,4,1.0,9,4,0,3,1,146719.0,0,,37,2,1,0,1
2.0,35,26,1.0,42,159247.0,1.0,6.0,0,4,2,0,4,1.0,9,2,0,3,3,167350.0,0,1.0,54,15,1,1,1
4.0,35,22,1.0,36,150084.0,1.0,1.0,0,2,2,0,8,1.0,10,15,0,3,1,288132.0,0,,47,4,1,0,1
6.0,40,27,1.0,22,276369.0,1.0,1.0,0,1,4,0,7,1.0,13,4,0,3,2,142621.0,0,1.0,52,4,1,0,1
2.0,45,34,1.0,29,186845.0,1.0,2.0,0,13,3,0,4,1.0,6,4,0,1,3,144949.0,0,5.0,30,4,1,1,0
6.0,40,28,1.0,26,39054.0,1.0,1.0,0,11,4,0,2,1.0,14,2,0,3,1,355259.0,0,1.0,43,4,1,0,0
2.0,40,26,1.0,47,82488.0,1.0,,0,4,3,0,2,1.0,9,5,0,1,3,463194.0,0,1.0,58,2,1,1,1
,30,68,1.0,28,36989.0,,1.0,1510,11,3,0,3,1.0,14,4,0,1,3,150250.0,0,2.0,44,1,1,1,1
3.0,40,20,1.0,42,165468.0,1.0,1.0,0,4,4,0,4,1.0,9,2,0,3,1,181675.0,0,1.0,59,4,1,1,1
1.0,35,39,1.0,25,124483.0,1.0,1.0,0,2,3,0,5,8.0,10,4,0,1,1,79586.0,2559,1.0,48,4,0,1,0
3.0,20,18,1.0,61,179446.0,1.0,1.0,0,2,2,0,4,21.0,10,1,0,3,3,184693.0,0,1.0,57,4,1,0,1
